"adjectival","country"
"Abkhaz","Abkhazia (region in Georgia)"
"Abkhazian","Abkhazia (region in Georgia)"
"Afghan","Afghanistan"
"Aland Island","Aland Islands"
"Albanian","Albania"
"Algerian","Algeria"
"American","United States of America"
"American Samoan","American Samoa"
"Andorran","Andorra"
"Angolan","Angola"
"Anguillan","Anguilla"
"Antarctic","Antarctica"
"Antiguan","Antigua and Barbuda"
"Argentinian","Argentina"
"Armenian","Armenia"
"Aruban","Aruba"
"Australian","Australia"
"Austrian","Austria"
"Azerbaijani","Azerbaijan"
"Azeri","Azerbaijan"
"Bahamian","Bahamas"
"Bahraini","Bahrain"
"Barbadian","Barbados"
"Barbudan","Antigua and Barbuda"
"Barthélemois","Saint Barthélemy"
"Basotho","Lesotho"
"Belarusian","Belarus"
"Belgian","Belgium"
"Belizean","Belize"
"Bengali","Bangladesh"
"Beninese","Benin"
"Beninois","Benin"
"Bermudan","Bermuda"
"Bermudian","Bermuda"
"Bhutanese","Bhutan"
"BIOT","British Indian Ocean Territory"
"Bissau-Guinean","Guinea-Bissau"
"Bolivian","Bolivia"
"Bonaire","Bonaire"
"Bosnian","Bosnia and Herzegovina"
"Botswanan","Botswana"
"Bouvet Island","Bouvet Island"
"Brazilian","Brazil"
"British","United Kingdom of Great Britain and Northern Ireland"
"British Virgin Island","Virgin Islands"
"Bruneian","Brunei"
"Bulgarian","Bulgaria"
"Burkinabé","Burkina Faso"
"Burmese","Burma"
"Burundian","Burundi"
"Cabo Verdean","Cabo Verde"
"Cambodian","Cambodia"
"Cameroonian","Cameroon"
"Canadian","Canada"
"Caymanian","Cayman Islands"
"Central African","Central African Republic"
"Chadian","Chad"
"Channel Island","Jersey"
"Chilean","Chile"
"Chinese","China"
"Christmas Island","Christmas Island"
"Cocos Island","Cocos (Keeling) Islands"
"Colombian","Colombia"
"Comoran","Comoros"
"Comorian","Comoros"
"Congolese","Congo"
"Cook Island","Cook Islands"
"Costa Rican","Costa Rica"
"Croatian","Croatia"
"Cuban","Cuba"
"Curaçaoan","Curaçao"
"Cypriot","Cyprus"
"Czech","Czech Republic"
"Danish","Denmark"
"Djiboutian","Djibouti"
"Dominican","Dominican Republic"
"Dutch","Netherlands"
"Ecuadorian","Ecuador"
"Egyptian","Egypt"
"Emirati","United Arab Emirates"
"Emiri","United Arab Emirates"
"Emirian","United Arab Emirates"
"Equatoguinean","Equatorial Guinea"
"Equatorial Guinean","Equatorial Guinea"
"Eritrean","Eritrea"
"Estonian","Estonia"
"Ethiopian","Ethiopia"
"European","European Union"
"Falkland Island","Falkland Islands"
"Faroese","Faroe Islands"
"Fijian","Fiji"
"Filipino","Philippines"
"Finnish","Finland"
"French","France"
"French Guianese","French Guiana"
"French Polynesian","French Polynesia"
"French Southern Territories","French Southern Territories"
"Futunan","Wallis and Futuna"
"Gabonese","Gabon"
"Gambian","Gambia"
"Georgian","Georgia"
"German","Germany"
"Ghanaian","Ghana"
"Gibraltar","Gibraltar"
"Greek","Greece"
"Greenlandic","Greenland"
"Grenadian","Grenada"
"Guadeloupe","Guadeloupe"
"Guamanian","Guam"
"Guambat","Guam"
"Guatemalan","Guatemala"
"Guinean","Guinea"
"Guyanese","Guyana"
"Haitian","Haiti"
"Heard Island","Heard Island and McDonald Islands"
"Hellenic","Greece"
"Herzegovinian","Bosnia and Herzegovina"
"Honduran","Honduras"
"Hong Kong","Hong Kong"
"Hong Kongese","Hong Kong"
"Hungarian","Hungary"
"I-Kiribati","Kiribati"
"Icelandic","Iceland"
"Indian","India"
"Indonesian","Indonesia"
"Iranian","Iran"
"Iraqi","Iraq"
"Irish","Ireland"
"Israeli","Israel"
"Italian","Italy"
"Ivorian","Ivory Coast"
"Jamaican","Jamaica"
"Jan Mayen","Jan Mayen"
"Japanese","Japan"
"Jordanian","Jordan"
"Kazakh","Kazakhstan"
"Kazakhstani","Kazakhstan"
"Kenyan","Kenya"
"Kirghiz","Kyrgyzstan"
"Kirgiz","Kyrgyzstan"
"Kittitian","Saint Kitts and Nevis"
"Kosovan","Kosovo"
"Kosovar","Kosovo"
"Kuwaiti","Kuwait"
"Kyrgyz","Kyrgyzstan"
"Kyrgyzstani","Kyrgyzstan"
"Lao","Laos"
"Laotian","Laos"
"Latvian","Latvia"
"Lebanese","Lebanon"
"Lettish","Latvia"
"Liberian","Liberia"
"Libyan","Libya"
"Liechtensteiner","Liechtenstein"
"Lithuanian","Lithuania"
"Luxembourg","Luxembourg"
"Luxembourgish","Luxembourg"
"Macanese","Macau"
"Macedonian","Macedonia"
"Magyar","Hungary"
"Mahoran","Mayotte"
"Malagasy","Madagascar"
"Malawian","Malawi"
"Malaysian","Malaysia"
"Maldivian","Maldives"
"Malian","Mali"
"Malinese","Mali"
"Maltese","Malta"
"Manx","Isle of Man"
"Marshallese","Marshall Islands"
"Martinican","Martinique"
"Martiniquais","Martinique"
"Mauritanian","Mauritania"
"Mauritian","Mauritius"
"McDonald Islands","Heard Island and McDonald Islands"
"Mexican","Mexico"
"Micronesian","Micronesia"
"Miquelonnais","Saint Pierre and Miquelon"
"Moldovan","Moldova"
"Monacan","Monaco"
"Monégasque","Monaco"
"Mongolian","Mongolia"
"Montenegrin","Montenegro"
"Montserratian","Montserrat"
"Moroccan","Morocco"
"Motswana","Botswana"
"Mozambican","Mozambique"
"Namibian","Namibia"
"Nauruan","Nauru"
"Nepalese","Nepal"
"Nepali","Nepal"
"Netherlandic","Netherlands"
"Nevisian","Saint Kitts and Nevis"
"New Caledonian","New Caledonia"
"New Zealand","New Zealand"
"Ni-Vanuatu","Vanuatu"
"Nicaraguan","Nicaragua"
"Nigerian","Nigeria"
"Nigerien","Niger"
"Niuean","Niue"
"Norfolk Island","Norfolk Island"
"North Korean","North Korea"
"Northern Irish","Northern Ireland"
"Northern Marianan","Northern Mariana Islands"
"Norwegian","Norway"
"NZ","New Zealand"
"Omani","Oman"
"Pakistani","Pakistan"
"Palauan","Palau"
"Palestinian","Palestine"
"Panamanian","Panama"
"Papua New Guinean","Papua New Guinea"
"Papuan","Papua New Guinea"
"Paraguayan","Paraguay"
"Persian","Iran"
"Peruvian","Peru"
"Philippine","Philippines"
"Pitcairn Island","Pitcairn Islands"
"Polish","Poland"
"Portuguese","Portugal"
"Puerto Rican","Puerto Rico"
"Qatari","Qatar"
"Réunionese","Réunion"
"Réunionnais","Réunion"
"Romanian","Romania"
"Russian","Russia"
"Rwandan","Rwanda"
"Saba","Saba"
"Sahraouian","Western Sahara"
"Sahrawi","Western Sahara"
"Sahrawian","Western Sahara"
"Saint-Martinoise","Saint Martin"
"Saint-Pierrais","Saint Pierre and Miquelon"
"Saint Helenian","Saint Helena"
"Saint Lucian","Saint Lucia"
"Saint Vincentian","Saint Vincent and the Grenadines"
"Salvadoran","El Salvador"
"Sammarinese","San Marino"
"Samoan","Samoa"
"Sao Toméan","Sao Tomé and Príncipe"
"Saudi","Saudi Arabia"
"Saudi Arabian","Saudi Arabia"
"Scottish","Scotland"
"Senegalese","Senegal"
"Serbian","Serbia"
"Seychellois","Seychelles"
"Sierra Leonean","Sierra Leone"
"Singapore","Singapore"
"Singaporean","Singapore"
"Sint Eustatius","Sint Eustatius"
"Sint Maarten","Sint Maarten"
"Slovak","Slovakia"
"Slovene","Slovenia"
"Slovenian","Slovenia"
"Solomon Island","Solomon Islands"
"Somali","Somalia"
"Somalilander","Somaliland"
"South African","South Africa"
"South Georgia","South Georgia and the South Sandwich Islands"
"South Korean","South Korea"
"South Ossetian","South Ossetia (Region of Georgia)"
"South Sandwich Islands","South Georgia and the South Sandwich Islands"
"South Sudanese","South Sudan"
"Spanish","Spain"
"Sri Lankan","Sri Lanka"
"Statian","Sint Eustatius"
"Sudanese","Sudan"
"Surinamese","Surinam"
"Svalbard","Svalbard"
"Swazi","Swaziland"
"Swedish","Sweden"
"Swiss","Switzerland"
"Syrian","Syria"
"Taiwanese","China"
"Tajikistani","Tajikistan"
"Tanzanian","Tanzania"
"Thai","Thailand"
"Timorese","East Timor"
"Tobagonian","Trinidad and Tobago"
"Togolese","Togo"
"Tokelauan","Tokelau"
"Tongan","Tonga"
"Trinidadian","Trinidad and Tobago"
"Tunisian","Tunisia"
"Turkish","Turkey"
"Turkmen","Turkmenistan"
"Turks and Caicos Island","Turks and Caicos Islands"
"Tuvaluan","Tuvalu"
"Ugandan","Uganda"
"UK","United Kingdom of Great Britain and Northern Ireland"
"Ukrainian","Ukraine"
"United States","United States of America"
"Uruguayan","Uruguay"
"US","United States of America"
"US Virgin Island","Virgin Islands"
"Uzbek","Uzbekistan"
"Uzbekistani","Uzbekistan"
"Vanuatuan","Vanuatu"
"Vatican","Vatican City State"
"Venezuelan","Venezuela"
"Vietnamese","Vietnam"
"Vincentian","Saint Vincent and the Grenadines"
"Wallis and Futuna","Wallis and Futuna"
"Wallisian","Wallis and Futuna"
"Yemeni","Yemen"
"Zambian","Zambia"
"Zelanian","New Zealand"
"Zimbabwean","Zimbabwe"
NA,"Congo"
